Substance,0 min,2 min,5 min,10 min,15 min
Control,20,20,20,20,16
Sucrose,20,30,30,20,20
Whey protein isolate,0,0,0,4,8
Tween 80,0,0,0,0,0
Xanthan gum,30,30,30,24,24
Xanthan+Tween,0,0,0,0,0
Control,0,5,6,6,6
Sucrose,0,0,12,12,12
Whey protein isolate,0,0,0,0,0
Tween 80,0,0,0,0,0
Xanthan gum,0,10,11,11,12
Xanthan+Tween,0,0,0,0,0
Control,0,5,6,6,6
Sucrose,0,0,12,12,12
Whey protein isolate,0,0,0,0,0
Tween 80,0,0,0,0,0
Xanthan gum,0,10,11,11,12
Xanthan+Tween,0,0,0,0,0
Control,0,5,10,10,10
Sucrose,5,5,5,5,5
Whey protein isolate,0,0,2.5,2.5,2.5
Tween 80,0,0,0,0,0
Xanthan gum,0,0,0,0,0
Xanthan+Tween,0,0,0,0,0
Control,0,1,2,2,2
Sucrose,2.5,3,4,5,7.5
Whey protein isolate,1.5,2.5,2.5,3,4
Tween 80,0,0,0,0,0
Xanthan gum,5,6,6,6,7
Xanthan+Tween,0,0,0,0,0
Control,0,5,5,7,8
Sucrose,0,2.5,2.5,4,4
Whey protein isolate,0,0,0,0.1,0.2
Tween 80,0,0,0,0,0
Xanthan gum,0,5,6,6,7
Xanthan+Tween,0,0,0,0,0
Control,0,1.9,3,5,7.8
Sucrose,0,0,1,3.5,5
Whey protein isolate,0,0,0,0,0
Tween 80,0,0,0,0,0
Xanthan gum,0,1,2.5,2.5,2.8
Xanthan+Tween,0,0,0,0,0
Control,5,5,5,5,5
Sucrose,1,1,1,1,1
Whey protein isolate,0.5,,,,
Tween 80,0,,,,
Xanthan gum,0,,,,
Xanthan+Tween,0,,,,
Control,0,1.4,3,5,7.8
Sucrose,0,0,1,3.5,5
Whey protein isolate,0,0,0,0,0
Tween 80,0,0,0,0,0
Xanthan gum,0,1,2.5,2.5,2.8
Xanthan+Tween,0,0,0,0,0
Control,5,5.5,5.5,5.5,5.5
Sucrose,0,7.5,7.5,7.5,8
Whey protein isolate,0,0,1,2,3
Tween 80,0,2,2.5,2.5,3
Xanthan gum,0,0,0,1,2.5
Xanthan+Tween,0,0,0,0,0